hub_location_id,city,name,location,address,latitude,longitude
z2pn26,Amsterdam,"Amsterdam ⭐⭐⭐",Amsterdam,"Ophalen Ten Katestraat tegenover Cafe Bax (119)",52.36550000,4.86770000
zmb6em,Amsterdam,"Bouncespace Overtoom","Bouncespace Overtoom","Overtoom 141-3, Amsterdam",16.77348000,3.00742000
rm56r2,Huizen,Oostermeent,Huizen,Oostermeent,52.29421070,5.26243930
e23bmb,Vleuten,Hindersteinlaan,Vleuten,Hindersteinlaan,52.10580444,5.01324654
rm5r2g,Wageningen,Markt,Wageningen,Markt,51.96464310,5.66261970
wm4xm5,Nieuwveen,Dorpsstraat,Nieuwveen,Dorpsstraat,52.19908660,4.75834020
a2lp2b,Utrecht,"Verlengde Houtrakgracht",Utrecht,"Verlengde Houtrakgracht",52.08829640,5.05396880
62e527,Waddinxveen,Kerkweg-oost,Waddingxveen,Kerkweg-oost,52.04395350,4.65918690
zman27,Waddinxveen,Marktstraat,Waddingxveen,Marktstraat,52.04198456,4.65047836
e2qo27,Mijdrecht,Haitsmaplein,Mijdrecht,Haitsmaplein,52.20782180,4.86697980
6mk62w,Westervoort,Dorpsplein,Westervoort,Dorpsplein,51.96217100,5.96919240
zmbe26,Huizen,"Oude Raadhuisplein",Huizen,"Oude Raadhuisplein",52.29780120,5.23547550
ymwx2n,Putten,"Kerkplein / Fontanusplein",Putten,"Kerkplein / Fontanusplein",52.26154080,5.60663320
k27rmd,Zeist,Emmaplein,Zeist,Emmaplein,52.08655330,5.24165890
w2vemd,Bodegraven,Raadhuisplein,Raadhuisplein,Raadhuisplein,52.08621380,4.74815290
am6xmx,Leiden,"Ina Boudier-Bakkerplein",Leiden,"Ina Boudier-Bakkerplein",52.15947470,4.49088430
xmy7md,"Wijk bij Duurstede","De Sluishoofd","Wijk bij Duurstede","De Sluishoofd",51.97351880,5.32649040
a2gnmb,Reeuwijk,"De Lange Krag",Reeuwijk,"De Lange Krag",52.04736760,4.72785200
32zkma,IJmuiden,Velserduinplein,Ijmuiden,Velserduinplein,52.46020670,4.62012940
72ovbm,Roelofarendsveen,Schoolbaan,Roelofarendsveen,Schoolbaan,52.20441410,4.64292640
z2pnn2,Gouda,Markt,Gouda,Markt,52.01158975,4.71101884
dmnqo2,Culemborg,"Oude vismarkt",Culemborg,"Oude vismarkt",51.95814940,5.22487010
42rve2,Woerden,Kerkplein,Woerden,Kerkplein,52.08563240,4.88298180
ymdvrm,Leerdam,Westwal,Leerdam,Westwal,51.89183320,5.08999300
y2xezm,"De Bilt",Planetenbaan,"De Bilt",Planetenbaan,52.11540640,5.17874680
e23yb2,Cothen,"van Beeck Calkoenstraat",Cothen,"van Beeck Calkoenstraat",51.99718800,5.30848820
ymw4x2,Woudenberg,"Woudenberg 'Poortplein'",Woudenberg,"De Nieuwe Poort, Woudenberg",52.08197800,5.41467600
am6yx2,Achterberg,Achterberg,Achterberg,"Achterbergsestraatweg 184, Achterberg",51.97290500,5.58580600
xmyz72,Maarn,Maarn,Maarn,"5-mei Plein, Maarn",52.06452600,5.37193100
a2gan2,Beusichem,"Beusichem Markt",Beusichem,"Markt, Beusichem",51.94857100,5.29252100
dmnoo2,Haarlem,Zomerkade,Haarlem,Zomerkade,52.37699810,4.64934580
6mkb62,BOER&NLekker,Breda,BOER&NLekker,"Rietdijk 4",51.62124900,4.75276900
zmbye2,Kaasdam,"Kleine Markt",Centrum,Haasland,0.00000000,0.00000000
42reem,BOER&NLekker,Maren-Kessel,BOER&NLekker,"Burgemeester Smitsweg 10",51.77186700,5.38272200
ymd5r2,Wassenaar,Berkheiveld,Wassenaar,Berkheiveld,52.14716820,4.39149680
y2x6z2,Bovenkerk,"Noorddammerweg ",Bovenkerk,"Noorddammerweg ",52.26667180,4.81435770
e233b2,"De Kwakel",Kerklaan,"De Kwakel",Kerklaan,52.23857120,4.79338980
rm5yrm,Overveen,Bloemendaalseweg,Overveen,Bloemendaalseweg,52.40410680,4.61885730
wm4lxm,Linschoten,"Jacob Barneveldstraat",Linschoten,"Jacob Barneveldstraat",52.06429340,4.91631570
a2lvp2,"Almere Poort",Homeruskwartier,"Almere Poort",Homeruskwartier,52.35269120,5.11716950
62ev5m,Pernis,"G.A. Soetemanweg 73",Pernis,"G.A. Soetemanweg 73 (Bakkerij Dekker)",51.88776030,4.38927180
zmawnm,Oudewater,"Korte Havenstraat",Oudewater,"Korte Havenstraat",52.02273130,4.87036880
e2qvom,Mierlo,Dorpstraat,Mierlo,Dorpstraat,51.44398060,5.61435170
6mkw6m,Teteringen,"Willem Alexanderplein",Teteringen,"Willem Alexanderplein",51.61071590,4.81618900
zmbxem,Zegveld,Hoofdweg,Zegveld,Hoofdweg,52.10606330,4.84713200
ymwdx2,Ochten,"Dokter M. van Drielplein",Ochten,"Dokter M. van Drielplein",51.90640350,5.56277430
a2gbnm,Groesbeek,"Marktterrein Spoorlaan",Groesbeek,"Marktterrein Spoorlaan",51.77709270,5.93377950
32z5km,Zetten,Julianaplein,Zetten,Julianaplein,51.92987880,5.70967350
72onbm,"Almere Centrum",Stadhuisplein,"Almere Centrum",Stadhuisplein,52.37189430,5.21896180
z2prn2,"Almere Buiten",Globeplein,"Almere Buiten",Globeplein,52.39401450,5.27742950
dmnpom,"Almere Haven",Markt,"Almere Haven",Markt,52.34931770,5.22079980
72ongm,Budel,"Weekmarkt centrum",Budel,"Weekmarkt centrum",51.27231730,5.55775750
z2pr62,Woensel,"Weekmarkt WoensXL",Eindhoven,"Weekmarkt WoensXL",51.47058790,5.47259900
dmnp4m,Hilvarenbeek,"Weekmarkt Hilverhof",Hilvarenbeek,"Weekmarkt Hilverhof",51.48349590,5.13684470
42ryom,Oisterwijk,"Weekmarkt Op de Lind",Oisterwijk,"Weekmarkt Op de Lind",51.58104930,5.19551560
ymdrom,Uden,"Weekmarkt De Markt",Uden,"Weekmarkt De Markt",51.65725410,5.61739420
y2xaqm,Sint-Michielsgestel,"Weekmarkt Petrus Dondersplein",Sint-Michielsgestel,"Weekmarkt Petrus Dondersplein",51.63808320,5.34848120
42ryem,BOER&NLekker,Oosterhout,BOER&NLekker,"Hoogstraat 82-B",51.63899950,4.87710930
ymdrrm,"Bakkerij Straathof","Bakkerij Straathof",Amsterdam,"Ten Katestraat 21",52.36756260,4.86444430
e23zbm,BOER&NLekker,"Welkoop Wijk en Aalburg",BOER&NLekker,"Parallelweg 4",51.74638510,5.10958520
rm5erm,BOER&NLekker,"Welkoop Udenhout",BOER&NLekker,"Kreitenmolenstraat 151",51.60782900,5.14922650
wm46xm,BOER&NLekker,"Welkoop Middelbeers",BOER&NLekker,"Het Ven 1",51.46845960,5.24852690
62ex5m,BOER&NLekker,"Welkoop Hulsel",BOER&NLekker,"Vooreind 16a",51.38909290,5.16832890
zmaonm,BOER&NLekker,"Welkoop Someren",BOER&NLekker,"Witvrouwenbergweg 15",51.39670920,5.71621030
e23znm,Schijndel,"Weekmarkt centrum",Schijndel,"Weekmarkt centrum",51.61915650,5.43245790
6mkqwm,"Vakbeurs Foodspecialiteiten","Expo Houten","Vakbeurs Foodspecialiteiten","Meidoornkade 24",52.03827160,5.13962320
